index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
4167,E05000782,Bredbury Green and Romiley,Stockport,1782.5,97.6,14375,52.0,48.0,45.0,94.8,5.3,44.9,34.9,70.1,19.8,10.0,18.0,36.8,45.2,2.4,51.9,3.3,20.2,29.5,23.6,46.9,45.3,18.8,22.799999999999997,13.2,0,1.0,3.0,0,3.0,0,0,0,0,0,1,0,1,961,15
4221,E05000795,Marple South and High Lane,Stockport,869.5,97.8,11771,51.3,48.7,45.8,96.5,3.5,51.9,33.8,81.7,8.9,9.3,15.2,32.8,52.1,2.3000000000000003,52.3,2.0,14.3,24.4,22.2,53.3,52.7,18.8,18.0,10.6,0,2.0,3.0,0,3.0,0,0,1,0,1,1,0,1,974,15
4246,E05000800,Ashton Hurst,Tameside,2394.8,89.69999999999999,11685,51.1,48.9,43.6,79.6,20.3,40.9,35.8,62.50000000000001,24.6,13.0,20.5,39.8,39.7,10.4,52.8,3.5,23.3,34.599999999999994,24.4,41.0,34.900000000000006,18.7,28.4,18.0,0,0.0,0.0,0,5.0,0,0,0,0,0,0,0,0,979,15
4261,E05000802,Ashton Waterloo,Tameside,2599.9,90.2,11693,50.9,49.1,43.5,78.6,21.4,39.8,34.2,60.5,24.8,14.7,20.2,40.2,39.5,9.8,53.4,3.1,26.0,37.0,24.299999999999997,38.6,33.2,18.8,30.799999999999997,17.2,0,1.0,1.0,0,3.0,0,0,0,0,0,1,0,1,981,15
4273,E05000804,Denton North East,Tameside,4031.6,95.5,11133,51.1,48.9,39.3,90.6,9.5,42.4,37.0,65.39999999999999,12.7,21.9,17.6,42.099999999999994,40.5,4.3999999999999995,57.3,3.4,20.6,33.2,26.4,40.4,33.6,22.3,29.799999999999997,14.3,0,1.0,4.0,0,4.0,0,0,0,0,0,1,0,1,983,15
4280,E05000805,Denton South,Tameside,3824.2,96.6,11023,52.5,47.5,43.2,92.4,7.6,38.8,36.4,54.00000000000001,35.7,10.2,18.700000000000003,38.6,42.5,3.4000000000000004,53.2,3.6,24.799999999999997,36.0,26.5,37.7,32.0,20.799999999999997,31.200000000000003,15.9,0,0.0,1.0,0,3.0,0,0,0,0,0,0,0,1,984,15
4308,E05000810,Dukinfield Stalybridge,Tameside,3773.4,96.9,11179,50.7,49.3,40.6,94.0,6.0,43.6,34.9,61.0,22.2,16.8,15.8,39.6,44.5,3.2000000000000006,56.3,3.0999999999999996,21.4,32.8,25.2,42.0,36.8,20.8,28.0,14.5,0,1.0,2.0,0,5.0,0,0,0,0,0,1,0,1,989,15
4471,E05000846,Bryn (Wigan),,1677.8,98.6,11433,50.8,49.2,42.9,97.9,2.1,44.6,33.6,69.00000000000001,18.8,12.2,16.8,38.599999999999994,44.7,1.4,54.3,2.8000000000000003,21.9,32.2,27.4,40.4,34.0,20.5,31.1,14.3,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1025,15
4494,E05000850,Hindley Green,Wigan,2735.5,98.2,11510,50.7,49.3,39.7,96.8,3.2,48.3,34.2,82.1,8.2,9.7,17.299999999999997,38.8,43.99999999999999,1.8,57.900000000000006,2.4,17.5,30.9,26.4,42.7,37.5,20.6,28.9,13.0,0,0.0,1.0,0,3.0,0,0,0,0,0,0,0,1,1029,15
4582,E05010944,St Gabriels,Knowsley,3022.5,98.5,9519,52.8,47.2,41.5,96.6,3.3999999999999995,40.7,32.7,61.00000000000001,24.2,14.9,18.1,41.3,40.5,1.6,55.0,3.5999999999999996,26.6,36.9,22.1,41.0,32.8,19.0,29.2,19.0,0,4.0,2.0,0,2.0,0,0,0,0,0,1,0,1,1053,15
4597,E05010949,Whitefield,Knowsley,3450.4,98.2,9759,52.7,47.3,44.5,97.0,2.9,35.0,32.9,58.00000000000001,27.1,14.8,17.900000000000002,39.8,42.3,1.8,51.6,3.8,32.1,43.1,22.0,34.900000000000006,26.4,20.2,33.0,20.4,0,1.0,3.0,0,4.0,0,0,0,0,0,1,0,1,1058,15
4610,E05000888,Belle Vale (Liverpool),,3306.6,97.1,15613,53.6,46.4,46.7,93.0,6.9,33.3,33.8,51.3,39.4,9.4,18.9,39.3,41.7,3.0,49.400000000000006,4.0,32.8,41.7,21.1,37.1,27.7,17.6,32.900000000000006,21.8,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1061,15
4703,E05014120,Billinge & Seneley Green,St. Helens,982.2,98.8,10462,50.6,49.4,46.2,98.2,1.9,49.1,35.2,83.6,8.7,7.7,14.2,34.099999999999994,51.8,1.2,51.7,2.0,15.7,27.2,25.0,47.900000000000006,42.900000000000006,20.5,24.0,12.6,0,4.0,2.0,0,5.0,0,0,0,0,0,1,0,1,1089,15
4710,E05014121,Blackbrook (St. Helens),,3401.5,98.6,10594,51.0,49.0,43.5,97.7,2.4000000000000004,40.1,36.3,70.5,18.0,11.5,17.0,39.0,44.1,1.3000000000000005,53.2,3.3,23.7,35.2,26.3,38.6,29.9,19.6,34.6,15.9,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1090,15
4725,E05014124,Haydock,St. Helens,759.6,98.2,10842,51.4,48.6,43.4,97.0,3.0,42.6,34.8,68.7,17.8,13.5,16.9,38.099999999999994,44.9,1.9,54.1,2.5,22.6,34.4,25.4,40.2,33.5,19.3,32.4,14.9,0,2.0,1.0,0,3.0,0,0,0,0,0,1,0,1,1093,15
4732,E05014125,Moss Bank,St. Helens,1928.8,98.6,10836,51.1,48.9,44.5,97.8,2.2,43.2,33.0,68.0,22.5,9.5,16.8,37.9,45.5,1.4,52.5,3.0,23.8,33.1,24.3,42.6,33.8,18.8,31.8,15.5,0,1.0,1.0,0,2.0,0,0,0,0,0,1,0,1,1094,15
4750,E05014130,Rainford,St. Helens,281.3,98.6,7846,51.7,48.3,47.2,97.8,2.1999999999999997,52.2,33.3,84.0,6.6,9.4,15.0,30.9,54.2,1.5000000000000002,50.9,1.9,14.5,25.1,22.1,52.7,50.2,18.5,20.0,11.3,0,3.0,1.0,0,3.0,0,1,1,0,1,1,0,1,1099,15
